
                             RF1_desl_1e6_Pren  RF1_desl_1e6_Puxa  U1_desl_1e6_PuxaS
                  X                deSet               Set                 et       

                0.                 0.                 0.                 0.         
                1.26355E-03        0.                -3.85092E-03       -1.10964E-09
                2.51194E-03      -11.6105E-21       -13.486E-03         -8.70203E-09
                3.75763E-03     -581.084E-18        -29.0309E-03       -29.0751E-09 
                5.00248E-03      -28.4349E-15       -49.9766E-03       -68.4735E-09 
                6.27243E-03       -8.44536E-15      -76.1719E-03      -134.723E-09  
                7.51685E-03     -709.036E-15       -106.428E-03       -231.434E-09  
                8.76119E-03       14.4412E-12      -141.049E-03       -365.757E-09  
               10.0055E-03         2.99762E-12     -179.534E-03       -543.757E-09  
               11.2751E-03        23.6894E-12      -223.68E-03        -776.645E-09  
               12.5194E-03        16.4832E-12      -272.249E-03         -1.06118E-06
               13.7636E-03       -40.2307E-12      -326.212E-03         -1.4074E-06 
               15.0078E-03      -142.688E-12       -386.411E-03         -1.8212E-06 
               16.2521E-03      -351.604E-12       -452.955E-03         -2.3084E-06 
               17.5218E-03      -454.482E-12       -526.637E-03         -2.88721E-06
               18.7661E-03      -637.568E-12       -604.216E-03         -3.5403E-06 
               20.0103E-03        -1.00816E-09     -686.43E-03          -4.28409E-06
               21.2546E-03         1.73177E-09     -772.529E-03         -5.12426E-06
               22.5243E-03         1.78765E-09     -864.235E-03         -6.08676E-06
               23.7686E-03         1.27415E-09     -957.938E-03         -7.13866E-06
               25.0128E-03        -2.7129E-09        -1.05593           -8.30368E-06
               26.2571E-03       -32.843E-09         -1.15862           -9.58732E-06
               27.5014E-03       -61.35E-09          -1.26651          -10.995E-06  
               28.7711E-03        40.1058E-09        -1.3824           -12.5648E-06 
               30.0153E-03         1.14745E-06       -1.50145          -14.2393E-06 
               31.2596E-03         7.86412E-06       -1.62557          -16.054E-06  
               32.5038E-03        39.7569E-06        -1.75432          -18.0138E-06 
               33.7734E-03       167.659E-06         -1.88975          -20.1691E-06 
               35.0176E-03       575.377E-06         -2.02581          -22.4384E-06 
               36.2618E-03         1.68841E-03       -2.16525          -24.8686E-06 
               37.506E-03          4.21555E-03       -2.30847          -27.4647E-06 
               38.7501E-03         8.84984E-03       -2.45585          -30.2317E-06 
               40.0197E-03        15.9269E-03        -2.61103          -33.2364E-06 
               41.2639E-03        25.0346E-03        -2.76783          -36.3638E-06 
               42.5081E-03        37.0224E-03        -2.9291           -39.6772E-06 
               43.7523E-03        53.8782E-03        -3.09479          -43.181E-06  
               45.0219E-03        78.2219E-03        -3.26845          -46.958E-06  
               46.266E-03        110.188E-03         -3.44255          -50.8614E-06 
               47.5102E-03       150.75E-03          -3.6193           -54.9702E-06 
               48.7544E-03       200.456E-03         -3.79858          -59.2881E-06 
               50.024E-03        260.796E-03         -3.98497          -63.9154E-06 
               51.2682E-03       329.407E-03         -4.17154          -68.6715E-06 
               52.5124E-03       408.541E-03         -4.36162          -73.6507E-06 
               53.7566E-03       500.429E-03         -4.55498          -78.8574E-06 
               55.0007E-03       606.38E-03          -4.75258          -84.2974E-06 
               56.2703E-03       728.215E-03         -4.95964          -90.0921E-06 
               57.5145E-03       859.319E-03         -5.1678           -96.0143E-06 
               58.7587E-03         1.00072           -5.38006         -102.182E-06  
               60.0029E-03         1.15179           -5.59543         -108.6E-06    
               61.2725E-03         1.3154            -5.81814         -115.411E-06  
               62.5167E-03         1.48457           -6.03945         -122.346E-06  
               63.7608E-03         1.66243           -6.26402         -129.544E-06  
               65.005E-03          1.84909           -6.49195         -137.009E-06  
               66.2746E-03         2.04879           -6.72823         -144.905E-06  
               67.5188E-03         2.25388           -6.96368         -152.92E-06   
               68.763E-03          2.46829           -7.20335         -161.215E-06  
               70.0072E-03         2.69172           -7.44731         -169.791E-06  
               71.2514E-03         2.92375           -7.69485         -178.655E-06  
               72.5209E-03         3.16929           -7.95037         -188.E-06     
               73.7651E-03         3.41896           -8.20343         -197.455E-06  
               75.0093E-03         3.67797           -8.4594          -207.207E-06  
               76.2535E-03         3.94639           -8.71871         -217.261E-06  
               77.5231E-03         4.23005           -8.98729         -227.836E-06  
               78.7673E-03         4.51724           -9.25526         -238.511E-06  
               80.0115E-03         4.8131            -9.52895         -249.5E-06    
               81.2556E-03         5.11738           -9.80914         -260.805E-06  
               82.5252E-03         5.43594          -10.1021          -272.669E-06  
               83.7694E-03         5.75546          -10.3959          -284.627E-06  
               85.0136E-03         6.0819           -10.6963          -296.907E-06  
               86.2578E-03         6.41546          -11.0034          -309.52E-06   
               87.502E-03          6.75683          -11.3185          -322.468E-06  
               88.7716E-03         7.11335          -11.6495          -336.027E-06  
               90.0157E-03         7.47076          -11.9849          -349.656E-06  
               91.2599E-03         7.83644          -12.3328          -363.633E-06  
               92.5041E-03         8.21022          -12.694           -377.953E-06  
               93.7737E-03         8.59931          -13.0766          -392.929E-06  
               95.0179E-03         8.98729          -13.4656          -407.964E-06  
               96.2621E-03         9.38172          -13.8694          -423.352E-06  
               97.5063E-03         9.78335          -14.2884          -439.102E-06  
               98.7504E-03        10.1925           -14.7224          -455.214E-06  
              100.02E-03          10.6176           -15.1798          -472.029E-06  
              101.264E-03         11.0419           -15.6411          -488.882E-06  
              102.508E-03         11.4747           -16.115           -506.107E-06  
              103.753E-03         11.9158           -16.6016          -523.706E-06  
              105.022E-03         12.3733           -17.1121          -542.056E-06  
              106.266E-03         12.8285           -17.6259          -560.418E-06  
              107.511E-03         13.2906           -18.1524          -579.164E-06  
              108.755E-03         13.7601           -18.6905          -598.297E-06  
              110.024E-03         14.2467           -19.2505          -618.22E-06   
              111.268E-03         14.7306           -19.8094          -638.142E-06  
              112.513E-03         15.2214           -20.3775          -658.453E-06  
              113.757E-03         15.7188           -20.9546          -679.164E-06  
              115.001E-03         16.223            -21.5408          -700.269E-06  
              116.271E-03         16.7452           -22.1496          -722.226E-06  
              117.515E-03         17.2641           -22.7577          -744.146E-06  
              118.759E-03         17.7897           -23.3779          -766.472E-06  
              120.003E-03         18.3221           -24.0104          -789.208E-06  
              121.273E-03         18.8731           -24.6678          -812.829E-06  
              122.517E-03         19.4216           -25.3234          -836.4E-06    
              123.761E-03         19.9791           -25.9895          -860.382E-06  
              125.005E-03         20.5461           -26.665           -884.782E-06  
              126.275E-03         21.1352           -27.3637          -910.113E-06  
              127.519E-03         21.7235           -28.0572          -935.367E-06  
              128.763E-03         22.3237           -28.76            -961.038E-06  
              130.007E-03         22.9365           -29.4724          -987.143E-06  
              131.252E-03         23.5622           -30.1944            -1.01367E-03
              132.521E-03         24.2145           -30.9408            -1.04119E-03
              133.765E-03         24.8682           -31.6814            -1.06859E-03
              135.01E-03          25.5369           -32.4308            -1.09643E-03
              136.254E-03         26.2209           -33.1882            -1.12471E-03
              137.523E-03         26.9349           -33.9691            -1.15401E-03
              138.768E-03         27.6509           -34.7425            -1.18316E-03
              140.012E-03         28.384            -35.5244            -1.21277E-03
              141.256E-03         29.135            -36.3155            -1.24282E-03
              142.5E-03           29.904            -37.116             -1.27331E-03
              143.77E-03          30.7067           -37.9432            -1.30489E-03
              145.014E-03         31.5104           -38.7642            -1.33628E-03
              146.258E-03         32.3303           -39.595             -1.36813E-03
              147.502E-03         33.1654           -40.4346            -1.40043E-03
              148.772E-03         34.0325           -41.2994            -1.43385E-03
              150.016E-03         34.8965           -42.1549            -1.46708E-03
              151.26E-03          35.7746           -43.0186            -1.50075E-03
              152.504E-03         36.666            -43.8906            -1.53488E-03
              153.774E-03         37.5884           -44.7891            -1.57019E-03
              155.018E-03         38.5045           -45.6784            -1.60525E-03
              156.262E-03         39.433            -46.5764            -1.64078E-03
              157.507E-03         40.3737           -47.4828            -1.67677E-03
              158.751E-03         41.3264           -48.3981            -1.71322E-03
              160.02E-03          42.3104           -49.3415            -1.75091E-03
              161.265E-03         43.2864           -50.2745            -1.78831E-03
              162.509E-03         44.2745           -51.2154            -1.82617E-03
              163.753E-03         45.2751           -52.1647            -1.86451E-03
              165.022E-03         46.3094           -53.1425            -1.90413E-03
              166.267E-03         47.3358           -54.1105            -1.94341E-03
              167.511E-03         48.3746           -55.0887            -1.98318E-03
              168.755E-03         49.4254           -56.0785            -2.02342E-03
              170.025E-03         50.5102           -57.1013            -2.06498E-03
              171.269E-03         51.5855           -58.1169            -2.10619E-03
              172.513E-03         52.6719           -59.1462            -2.14785E-03
              173.757E-03         53.7686           -60.19              -2.19001E-03
              175.001E-03         54.8754           -61.2484            -2.23267E-03
              176.271E-03         56.015            -62.3439            -2.27666E-03
              177.515E-03         57.1421           -63.4335            -2.32028E-03
              178.759E-03         58.2791           -64.5392            -2.36436E-03
              180.003E-03         59.4257           -65.6614            -2.40894E-03
              181.273E-03         60.6058           -66.8242            -2.45493E-03
              182.517E-03         61.7727           -67.9816            -2.50047E-03
              183.761E-03         62.9499           -69.1568            -2.54651E-03
              185.006E-03         64.1371           -70.35              -2.59304E-03
              186.275E-03         65.3587           -71.5854            -2.64102E-03
              187.519E-03         66.5659           -72.8135            -2.68853E-03
              188.764E-03         67.7839           -74.058             -2.73651E-03
              190.008E-03         69.0128           -75.3181            -2.78498E-03
              191.252E-03         70.2527           -76.593             -2.83396E-03
              192.522E-03         71.5291           -77.9094            -2.88444E-03
              193.766E-03         72.7907           -79.2146            -2.9344E-03 
              195.01E-03          74.0629           -80.5346            -2.98484E-03
              196.254E-03         75.3451           -81.8688            -3.03578E-03
              197.524E-03         76.6634           -83.2439            -3.08828E-03
              198.768E-03         77.9645           -84.6046            -3.14021E-03
              200.012E-03         79.2744           -85.9771            -3.19262E-03
              201.256E-03         80.5934           -87.3606            -3.24552E-03
              202.5E-03           81.9219           -88.7546            -3.29893E-03
              203.77E-03          83.288            -90.1878            -3.35394E-03
              205.014E-03         84.6374           -91.6034            -3.40832E-03
              206.258E-03         85.9977           -93.0306            -3.46323E-03
              207.503E-03         87.3687           -94.47              -3.51859E-03
              208.772E-03         88.7786           -95.9522            -3.57564E-03
              210.016E-03         90.1717           -97.4177            -3.63199E-03
              211.261E-03         91.5771           -98.8955            -3.68889E-03
              212.505E-03         92.9954          -100.386             -3.74624E-03
              213.774E-03         94.4563          -101.918             -3.80528E-03
              215.018E-03         95.9022          -103.431             -3.86365E-03
              216.263E-03         97.3632          -104.954             -3.92247E-03
              217.507E-03         98.8404          -106.487             -3.98183E-03
              218.751E-03        100.334           -108.031             -4.04167E-03
              220.021E-03        101.877           -109.617             -4.10322E-03
              221.265E-03        103.405           -111.18              -4.16407E-03
              222.509E-03        104.951           -112.754             -4.22537E-03
              223.753E-03        106.515           -114.337             -4.2872E-03 
              225.023E-03        108.129           -115.963             -4.35078E-03
              226.267E-03        109.729           -117.565             -4.41358E-03
              227.511E-03        111.347           -119.177             -4.47688E-03
              228.755E-03        112.982           -120.797             -4.54067E-03
              230.025E-03        114.669           -122.46              -4.60625E-03
              231.269E-03        116.34            -124.099             -4.67101E-03
              232.513E-03        118.028           -125.75              -4.7363E-03 
              233.757E-03        119.732           -127.41              -4.80202E-03
              235.002E-03        121.451           -129.082             -4.86827E-03
              236.271E-03        123.219           -130.8               -4.93636E-03
              237.515E-03        124.967           -132.493             -5.00358E-03
              238.76E-03         126.728           -134.197             -5.07129E-03
              240.004E-03        128.503           -135.909             -5.13949E-03
              241.273E-03        130.328           -137.667             -5.20957E-03
              242.518E-03        132.129           -139.398             -5.2788E-03 
              243.762E-03        133.942           -141.139             -5.34844E-03
              245.006E-03        135.766           -142.889             -5.41856E-03
              246.25E-03         137.603           -144.648             -5.48922E-03
              247.52E-03         139.488           -146.454             -5.5618E-03 
              248.764E-03        141.346           -148.234             -5.63336E-03
              250.008E-03        143.216           -150.024             -5.70547E-03
              251.252E-03        145.096           -151.824             -5.77805E-03
              252.522E-03        147.026           -153.672             -5.85257E-03
              253.766E-03        148.929           -155.494             -5.92611E-03
              255.01E-03         150.843           -157.328             -6.00007E-03
              256.254E-03        152.768           -159.175             -6.07458E-03
              257.524E-03        154.745           -161.074             -6.15107E-03
              258.768E-03        156.693           -162.95              -6.22653E-03
              260.012E-03        158.653           -164.841             -6.30244E-03
              261.257E-03        160.623           -166.747             -6.37886E-03
              262.501E-03        162.604           -168.671             -6.45568E-03
              263.77E-03         164.635           -170.651             -6.5346E-03 
              265.014E-03        166.635           -172.609             -6.61244E-03
              266.259E-03        168.644           -174.583             -6.69072E-03
              267.503E-03        170.662           -176.574             -6.76944E-03
              268.772E-03        172.73            -178.623             -6.85026E-03
              270.017E-03        174.767           -180.648             -6.92997E-03
              271.261E-03        176.812           -182.689             -7.01013E-03
              272.505E-03        178.865           -184.748             -7.09074E-03
              273.775E-03        180.971           -186.865             -7.17351E-03
              275.019E-03        183.043           -188.955             -7.25506E-03
              276.263E-03        185.124           -191.061             -7.33707E-03
              277.507E-03        187.216           -193.181             -7.41951E-03
              278.751E-03        189.317           -195.314             -7.50241E-03
              280.021E-03        191.473           -197.504             -7.5875E-03 
              281.265E-03        193.596           -199.662             -7.67136E-03
              282.509E-03        195.728           -201.832             -7.75567E-03
              283.753E-03        197.871           -204.013             -7.84039E-03
              285.023E-03        200.068           -206.251             -7.92734E-03
              286.267E-03        202.23            -208.455             -8.01299E-03
              287.511E-03        204.402           -210.67              -8.09908E-03
              288.756E-03        206.582           -212.895             -8.18562E-03
              290.025E-03        208.815           -215.176             -8.27438E-03
              291.269E-03        211.013           -217.421             -8.36182E-03
              292.514E-03        213.22            -219.675             -8.44973E-03
              293.758E-03        215.438           -221.938             -8.53801E-03
              295.002E-03        217.666           -224.21              -8.62677E-03
              296.272E-03        219.951           -226.538             -8.71779E-03
              297.516E-03        222.202           -228.829             -8.80744E-03
              298.76E-03         224.466           -231.13              -8.89754E-03
              300.004E-03        226.741           -233.44              -8.98807E-03
              301.274E-03        229.077           -235.807             -9.08083E-03
              302.518E-03        231.381           -238.137             -9.1722E-03 
              303.762E-03        233.698           -240.475             -9.26399E-03
              305.006E-03        236.032           -242.822             -9.35625E-03
              306.25E-03         238.381           -245.177             -9.44883E-03
              307.52E-03         240.796           -247.588             -9.54388E-03
              308.764E-03        243.179           -249.959             -9.63735E-03
              310.008E-03        245.579           -252.338             -9.73128E-03
              311.253E-03        247.994           -254.726             -9.82553E-03
              312.522E-03        250.476           -257.17              -9.92227E-03
              313.766E-03        252.923           -259.574            -10.0174E-03 
              315.011E-03        255.385           -261.985            -10.113E-03  
              316.255E-03        257.862           -264.404            -10.209E-03  
              317.524E-03        260.404           -266.878            -10.3073E-03 
              318.768E-03        262.91            -269.31             -10.4041E-03 
              320.013E-03        265.428           -271.75             -10.5014E-03 
              321.257E-03        267.96            -274.197            -10.5989E-03 
              322.501E-03        270.503           -276.652            -10.6969E-03 
              323.771E-03        273.109           -279.166            -10.7974E-03 
              325.015E-03        275.673           -281.639            -10.8962E-03 
              326.259E-03        278.247           -284.122            -10.9954E-03 
              327.503E-03        280.831           -286.613            -11.095E-03  
              328.773E-03        283.477           -289.164            -11.197E-03  
              330.017E-03        286.079           -291.672            -11.2974E-03 
              331.261E-03        288.69            -294.188            -11.3981E-03 
              332.505E-03        291.31            -296.712            -11.4992E-03 
              333.775E-03        293.992           -299.295            -11.6029E-03 
              335.019E-03        296.628           -301.834            -11.7047E-03 
              336.263E-03        299.272           -304.381            -11.807E-03  
              337.507E-03        301.924           -306.937            -11.9097E-03 
              338.752E-03        304.584           -309.503            -12.0127E-03 
              340.021E-03        307.306           -312.131            -12.1183E-03 
              341.265E-03        309.98            -314.716            -12.222E-03  
