
                             RF1_desl_1e6_rsd_  RF1_desl_1e6_rsd_  U1_desl_1e6_rsd_m                                      
                  X            meio_PrendeSet      meio_PuxaSet       eio_PuxaSet          desl ie            desl ke     

                0.                 0.                 0.                 0.                 0.                 0.         
                1.26355E-03        0.               -30.7122E-03        -8.86029E-09            NoValue            NoValue
                2.51194E-03      -92.8591E-21      -107.305E-03        -69.3532E-09             NoValue            NoValue
                3.75763E-03       -4.63533E-15     -230.422E-03       -231.288E-09              NoValue            NoValue
                5.00248E-03     -228.294E-15       -395.651E-03       -543.671E-09         58.4841E-09        73.318E-09  
                6.27243E-03      -68.6095E-15      -601.392E-03         -1.06762E-06            NoValue            NoValue
                7.51685E-03       -5.65334E-12     -838.012E-03         -1.83056E-06            NoValue            NoValue
                8.76119E-03      115.502E-12         -1.10761           -2.88751E-06            NoValue            NoValue
               10.0055E-03        23.9313E-12        -1.40593           -4.28455E-06        1.65857E-06        2.08297E-06
               11.2751E-03       189.537E-12         -1.74685           -6.10771E-06            NoValue            NoValue
               12.5194E-03       132.123E-12         -2.12062           -8.32944E-06            NoValue            NoValue
               13.7636E-03      -321.124E-12         -2.53448          -11.0259E-06             NoValue            NoValue
               15.0078E-03        -1.13975E-09       -2.99484          -14.2402E-06        12.4007E-06        13.7013E-06 
               16.2521E-03        -2.81244E-09       -3.50216          -18.0149E-06             NoValue            NoValue
               17.5218E-03        -3.64248E-09       -4.06181          -22.4874E-06             NoValue            NoValue
               18.7661E-03        -5.10778E-09       -4.64869          -27.5206E-06             NoValue            NoValue
               20.0103E-03        -8.0882E-09        -5.26791          -33.238E-06         51.5342E-06        54.0798E-06 
               21.2546E-03        13.8292E-09        -5.91318          -39.679E-06              NoValue            NoValue
               22.5243E-03        14.348E-09         -6.59699          -47.0376E-06             NoValue            NoValue
               23.7686E-03        10.3038E-09        -7.29225          -55.0587E-06             NoValue            NoValue
               25.0128E-03       -21.239E-09         -8.01613          -63.9186E-06       152.849E-06        158.437E-06  
               26.2571E-03      -261.364E-09         -8.77155          -73.6545E-06             NoValue            NoValue
               27.5014E-03      -487.143E-09         -9.56239          -84.3016E-06             NoValue            NoValue
