
                             RF1_forca_1e6_Pre  U1_forca_1e6_Puxa
                  X                ndeSet              Set       

                0.                 0.                 0.         
                1.26355E-03        0.                -3.59508E-12
                2.51194E-03     -921.306E-27        -88.2345E-12 
                3.75763E-03       -6.32709E-18     -506.084E-12  
                5.00248E-03       66.4539E-18        -1.67516E-09
                6.27243E-03      230.193E-18         -4.26954E-09
                7.51685E-03       -2.71998E-15       -9.00287E-09
                8.76119E-03      -26.1288E-15       -16.9194E-09 
               10.0055E-03       -19.0042E-15       -29.2304E-09 
               11.2751E-03       -35.9417E-15       -47.8047E-09 
               12.5194E-03       -25.8899E-15       -73.5525E-09 
               13.7636E-03      -110.685E-15       -108.573E-09  
               15.0078E-03       143.271E-15       -154.83E-09   
               16.2521E-03       606.658E-15       -214.434E-09  
               17.5218E-03      -218.707E-15       -291.337E-09  
               18.7661E-03      -512.006E-15       -384.888E-09  
               20.0103E-03         1.06215E-12     -499.003E-09  
               21.2546E-03        -5.75658E-12     -636.375E-09  
               22.5243E-03       -23.8735E-12      -803.509E-09  
               23.7686E-03       -56.7079E-12      -996.841E-09  
               25.0128E-03      -143.003E-12         -1.22269E-06
               26.2571E-03      -442.595E-12         -1.48449E-06
               27.5014E-03        -1.3466E-09        -1.78587E-06
               28.7711E-03        -2.42123E-09       -2.13812E-06
               30.0153E-03         5.27006E-09       -2.53116E-06
               31.2596E-03        79.6025E-09        -2.97565E-06
               32.5038E-03       511.089E-09         -3.47582E-06
               33.7734E-03         2.56746E-06       -4.04807E-06
               35.0176E-03        10.2705E-06        -4.67409E-06
               36.2618E-03        34.9715E-06        -5.36931E-06
               37.506E-03        102.897E-06         -6.13853E-06
               38.7501E-03       261.545E-06         -6.98669E-06
               40.0197E-03       582.875E-06         -7.93885E-06
               41.2639E-03         1.12042E-03       -8.96226E-06
               42.5081E-03         1.94947E-03      -10.0805E-06 
               43.7523E-03         3.17757E-03      -11.2993E-06 
               45.0219E-03         5.01553E-03      -12.6525E-06 
               46.266E-03          7.60724E-03      -14.0919E-06 
               47.5102E-03        11.2228E-03       -15.6496E-06 
               48.7544E-03        16.1247E-03       -17.3318E-06 
               50.024E-03         22.745E-03        -19.183E-06  
               51.2682E-03        31.1127E-03       -21.136E-06  
               52.5124E-03        41.6458E-03       -23.2328E-06 
               53.7566E-03        54.6897E-03       -25.4803E-06 
               55.0007E-03        70.6392E-03       -27.8852E-06 
               56.2703E-03        90.3289E-03       -30.509E-06  
               57.5145E-03       113.345E-03        -33.2538E-06 
               58.7587E-03       140.372E-03        -36.1778E-06 
               60.0029E-03       171.711E-03        -39.2883E-06 
               61.2725E-03       208.44E-03         -42.6624E-06 
               62.5167E-03       249.369E-03        -46.1729E-06 
               63.7608E-03       295.446E-03        -49.893E-06  
               65.005E-03        346.919E-03        -53.8304E-06 
               66.2746E-03       405.258E-03        -58.0807E-06 
               67.5188E-03       468.375E-03        -62.4818E-06 
               68.763E-03        537.629E-03        -67.1247E-06 
               70.0072E-03       613.277E-03        -72.0176E-06 
               71.2514E-03       695.575E-03        -77.1691E-06 
               72.5209E-03       786.681E-03        -82.7012E-06 
               73.7651E-03       883.227E-03        -88.4013E-06 
               75.0093E-03       987.252E-03        -94.3862E-06 
               76.2535E-03         1.09905         -100.665E-06  
               77.5231E-03         1.22145         -107.384E-06  
               78.7673E-03         1.34984         -114.283E-06  
               80.0115E-03         1.48685         -121.504E-06  
               81.2556E-03         1.63274         -129.054E-06  
               82.5252E-03         1.79101         -137.109E-06  
               83.7694E-03         1.95553         -145.355E-06  
               85.0136E-03         2.12961         -153.959E-06  
               86.2578E-03         2.31346         -162.93E-06   
               87.502E-03          2.5073          -172.278E-06  
               88.7716E-03         2.71564         -182.212E-06  
               90.0157E-03         2.9304          -192.347E-06  
               91.2599E-03         3.15589         -202.884E-06  
               92.5041E-03         3.39238         -213.833E-06  
               93.7737E-03         3.64527         -225.437E-06  
               95.0179E-03         3.90469         -237.242E-06  
               96.2621E-03         4.17581         -249.482E-06  
               97.5063E-03         4.45885         -262.164E-06  
               98.7504E-03         4.75403         -275.296E-06  
              100.02E-03           5.06796         -289.167E-06  
              101.264E-03          5.3883          -303.227E-06  
              102.508E-03          5.7214          -317.756E-06  
              103.753E-03          6.06749         -332.759E-06  
              105.022E-03          6.43422         -348.562E-06  
              106.266E-03          6.80716         -364.539E-06  
              107.511E-03          7.1937          -381.006E-06  
              108.755E-03          7.59405         -397.967E-06  
              110.024E-03          8.01702         -415.787E-06  
              111.268E-03          8.4459          -433.759E-06  
              112.513E-03          8.8892          -452.238E-06  
              113.757E-03          9.34713         -471.228E-06  
              115.001E-03          9.81986         -490.731E-06  
              116.271E-03         10.3177          -511.167E-06  
              117.515E-03         10.8208          -531.719E-06  
              118.759E-03         11.3393          -552.796E-06  
              120.003E-03         11.8732          -574.4E-06    
              121.273E-03         12.4341          -596.989E-06  
              122.517E-03         12.9997          -619.664E-06  
              123.761E-03         13.5811          -642.873E-06  
              125.005E-03         14.1784          -666.616E-06  
              126.275E-03         14.8044          -691.397E-06  
              127.519E-03         15.4341          -716.225E-06  
              128.763E-03         16.08            -741.592E-06  
              130.007E-03         16.7419          -767.498E-06  
              131.252E-03         17.4199          -793.945E-06  
              132.521E-03         18.1283          -821.487E-06  
              133.765E-03         18.8386          -849.025E-06  
              135.01E-03          19.5647          -877.102E-06  
              136.254E-03         20.3064          -905.719E-06  
              137.523E-03         21.0792          -935.476E-06  
              138.768E-03         21.8521          -965.183E-06  
              140.012E-03         22.6401          -995.426E-06  
              141.256E-03         23.443             -1.02621E-03
              142.5E-03           24.2606            -1.05752E-03
              143.77E-03          25.1098            -1.09003E-03
              145.014E-03         25.9565            -1.12242E-03
              146.258E-03         26.8173            -1.15534E-03
              147.502E-03         27.692             -1.18879E-03
              148.772E-03         28.5987            -1.22347E-03
              150.016E-03         29.501             -1.25798E-03
              151.26E-03          30.4167            -1.29301E-03
              152.504E-03         31.3457            -1.32855E-03
              153.774E-03         32.3073            -1.36535E-03
              155.018E-03         33.2628            -1.40193E-03
              156.262E-03         34.2313            -1.43902E-03
              157.507E-03         35.2127            -1.47661E-03
              158.751E-03         36.2069            -1.51471E-03
              160.02E-03          37.2344            -1.55409E-03
              161.265E-03         38.2542            -1.59318E-03
              162.509E-03         39.2864            -1.63275E-03
              163.753E-03         40.3309            -1.67281E-03
              165.022E-03         41.4094            -1.71418E-03
              166.267E-03         42.4784            -1.75521E-03
              167.511E-03         43.5593            -1.7967E-03 
              168.755E-03         44.6518            -1.83866E-03
              170.025E-03         45.7786            -1.88195E-03
              171.269E-03         46.8943            -1.92483E-03
              172.513E-03         48.0212            -1.96816E-03
              173.757E-03         49.1592            -2.01194E-03
              175.001E-03         50.3081            -2.05615E-03
              176.271E-03         51.4915            -2.10172E-03
              177.515E-03         52.6621            -2.14682E-03
              178.759E-03         53.8432            -2.19235E-03
              180.003E-03         55.0349            -2.2383E-03 
              181.273E-03         56.2615            -2.28562E-03
              182.517E-03         57.474             -2.33241E-03
              183.761E-03         58.6967            -2.37962E-03
              185.006E-03         59.9294            -2.42724E-03
              186.275E-03         61.1974            -2.47626E-03
              187.519E-03         62.45              -2.5247E-03 
              188.764E-03         63.7121            -2.57355E-03
              190.008E-03         64.9837            -2.6228E-03 
              191.252E-03         66.2646            -2.67245E-03
              192.522E-03         67.5811            -2.72352E-03
              193.766E-03         68.8804            -2.77398E-03
              195.01E-03          70.1887            -2.82483E-03
              196.254E-03         71.5058            -2.87607E-03
              197.524E-03         72.8587            -2.92877E-03
              198.768E-03         74.1932            -2.98082E-03
              200.012E-03         75.5363            -3.03325E-03
              201.256E-03         76.8878            -3.08609E-03
              202.5E-03           78.2477            -3.13931E-03
              203.77E-03          79.6438            -3.19403E-03
              205.014E-03         81.0202            -3.24805E-03
              206.258E-03         82.4049            -3.30246E-03
              207.503E-03         83.7977            -3.35727E-03
              208.772E-03         85.2272            -3.4136E-03 
              210.016E-03         86.6363            -3.46921E-03
              211.261E-03         88.0534            -3.52521E-03
              212.505E-03         89.4785            -3.5816E-03 
              213.774E-03         90.9411            -3.63956E-03
              215.018E-03         92.3827            -3.69676E-03
              216.263E-03         93.8324            -3.75437E-03
              217.507E-03         95.2906            -3.81237E-03
              218.751E-03         96.7572            -3.87078E-03
              220.021E-03         98.2628            -3.93081E-03
              221.265E-03         99.7471            -3.99004E-03
              222.509E-03        101.241             -4.04969E-03
              223.753E-03        102.743             -4.10975E-03
              225.023E-03        104.287             -4.17146E-03
              226.267E-03        105.809             -4.23237E-03
              227.511E-03        107.341             -4.2937E-03 
              228.755E-03        108.884             -4.35545E-03
              230.025E-03        110.468             -4.41891E-03
              231.269E-03        112.032             -4.48154E-03
              232.513E-03        113.607             -4.5446E-03 
              233.757E-03        115.193             -4.6081E-03 
              235.002E-03        116.79              -4.67204E-03
              236.271E-03        118.432             -4.73775E-03
              237.515E-03        120.053             -4.8026E-03 
              238.76E-03         121.686             -4.8679E-03 
              240.004E-03        123.33              -4.93366E-03
              241.273E-03        125.021             -5.00125E-03
              242.518E-03        126.69              -5.06795E-03
              243.762E-03        128.372             -5.13512E-03
              245.006E-03        130.066             -5.20278E-03
              246.25E-03         131.773             -5.27091E-03
              247.52E-03         133.527             -5.34094E-03
              248.764E-03        135.259             -5.41006E-03
