
                             RF1_forca_1e6_rsd  U1_forca_1e6_rsd_                                      
                  X           _meio_PrendeSet      meio_PuxaSet         forca ie           forca ke    

                0.                 0.                 0.                 0.                 0.         
                1.26355E-03        0.               -28.7234E-12             NoValue            NoValue
                2.51194E-03       -7.36871E-24     -703.964E-12              NoValue            NoValue
                3.75763E-03      -50.6187E-18        -4.03154E-09            NoValue            NoValue
                5.00248E-03      571.903E-18        -13.3241E-09        45.692E-12         60.7247E-12 
                6.27243E-03        1.70913E-15      -33.9071E-09             NoValue            NoValue
                7.51685E-03      -20.7868E-15       -71.3904E-09             NoValue            NoValue
                8.76119E-03     -206.488E-15       -133.967E-09              NoValue            NoValue
               10.0055E-03      -153.94E-15        -231.103E-09          6.34749E-09        8.10222E-09
               11.2751E-03      -291.402E-15       -377.384E-09              NoValue            NoValue
               12.5194E-03      -206.402E-15       -579.785E-09              NoValue            NoValue
               13.7636E-03      -880.475E-15       -854.558E-09              NoValue            NoValue
               15.0078E-03         1.12007E-12       -1.21681E-06      115.83E-09         137.451E-09  
               16.2521E-03         4.86036E-12       -1.68269E-06            NoValue            NoValue
               17.5218E-03        -1.75128E-12       -2.28259E-06            NoValue            NoValue
               18.7661E-03        -4.02814E-12       -3.01091E-06            NoValue            NoValue
               20.0103E-03         8.36653E-12       -3.89755E-06      901.968E-09        988.991E-09  
               21.2546E-03       -45.7545E-12        -4.96275E-06            NoValue            NoValue
               22.5243E-03      -190.227E-12         -6.25609E-06            NoValue            NoValue
               23.7686E-03      -452.02E-12          -7.74916E-06            NoValue            NoValue
               25.0128E-03        -1.13598E-09       -9.48984E-06        4.2962E-06         4.53853E-06
               26.2571E-03        -3.51845E-09      -11.5036E-06             NoValue            NoValue
               27.5014E-03       -10.6975E-09       -13.8172E-06             NoValue            NoValue
               28.7711E-03       -19.1736E-09       -16.5159E-06             NoValue            NoValue
               30.0153E-03        42.3831E-09       -19.5211E-06        15.1574E-06        15.7376E-06 
               31.2596E-03       635.176E-09        -22.9129E-06             NoValue            NoValue
               32.5038E-03         4.07279E-06      -26.722E-06              NoValue            NoValue
               33.7734E-03        20.4447E-06       -31.0712E-06             NoValue            NoValue
               35.0176E-03        81.7323E-06       -35.8193E-06        43.7161E-06        44.9187E-06 
               36.2618E-03       278.122E-06        -41.0817E-06             NoValue            NoValue
               37.506E-03        817.723E-06        -46.8924E-06             NoValue            NoValue
               38.7501E-03         2.07662E-03      -53.2863E-06             NoValue            NoValue
               40.0197E-03         4.62252E-03      -60.4495E-06       108.729E-06        111.134E-06  
               41.2639E-03         8.87331E-03      -68.133E-06              NoValue            NoValue
               42.5081E-03        15.4157E-03       -76.5115E-06             NoValue            NoValue
               43.7523E-03        25.0897E-03       -85.6241E-06             NoValue            NoValue
               45.0219E-03        39.5473E-03       -95.7209E-06       241.641E-06        246.495E-06  
               46.266E-03         59.9086E-03      -106.439E-06              NoValue            NoValue
               47.5102E-03        88.2768E-03      -118.014E-06              NoValue            NoValue
               48.7544E-03       126.683E-03       -130.488E-06              NoValue            NoValue
               50.024E-03        178.469E-03       -144.187E-06        491.959E-06        501.362E-06  
               51.2682E-03       243.813E-03       -158.609E-06              NoValue            NoValue
               52.5124E-03       325.917E-03       -174.061E-06              NoValue            NoValue
               53.7566E-03       427.405E-03       -190.588E-06              NoValue            NoValue
               55.0007E-03       551.275E-03       -208.238E-06        930.866E-06        947.141E-06  
               56.2703E-03       703.907E-03       -227.451E-06              NoValue            NoValue
               57.5145E-03       881.978E-03       -247.51E-06               NoValue            NoValue
               58.7587E-03         1.09064         -268.832E-06              NoValue            NoValue
               60.0029E-03         1.33206         -291.467E-06          1.66978E-03        1.69147E-03
               61.2725E-03         1.61433         -315.968E-06              NoValue            NoValue
               62.5167E-03         1.92812         -341.405E-06              NoValue            NoValue
               63.7608E-03         2.2805          -368.302E-06              NoValue            NoValue
               65.005E-03          2.67314         -396.712E-06          2.85986E-03        2.86861E-03
               66.2746E-03         3.11697         -427.311E-06              NoValue            NoValue
               67.5188E-03         3.59587         -458.928E-06              NoValue            NoValue
               68.763E-03          4.11991         -492.21E-06               NoValue            NoValue
               70.0072E-03         4.69077         -527.209E-06          4.71555E-03        4.64726E-03
