
                             RF1_thick_desl_1e  RF1_thick_desl_1e  U1_thick_desl_1e4
                  X               4_aplic            4_apoio             _aplic     

                0.                 0.                 0.                 0.         
                1.25168E-03      105.34E-06           6.59566E-06      691.735E-12  
                2.50171E-03      409.63E-06         -33.7235E-06         5.51262E-09
                3.75174E-03      926.219E-06       -196.87E-06          18.5579E-09 
                5.00177E-03        1.64146E-03     -797.268E-06         43.892E-09  
                6.2518E-03         2.69212E-03       -1.74411E-03       85.5484E-09 
                7.50183E-03        4.34228E-03       -3.1401E-03       147.53E-09   
                8.75186E-03        6.58507E-03       -5.02304E-03      233.809E-09  
               10.0019E-03         9.44719E-03       -7.70356E-03      348.326E-09  
               11.2519E-03        12.9727E-03       -11.1701E-03       494.993E-09  
               12.502E-03         17.4586E-03       -15.4605E-03       677.69E-09   
               13.752E-03         22.9338E-03       -20.5685E-03       900.269E-09  
               15.002E-03         29.4006E-03       -26.8319E-03         1.16655E-06
               16.252E-03         36.8926E-03       -34.2733E-03         1.48031E-06
               17.5021E-03        45.6524E-03       -42.8907E-03         1.84533E-06
               18.7521E-03        55.7983E-03       -52.7029E-03         2.26533E-06
               20.0021E-03        67.2908E-03       -63.9309E-03         2.74401E-06
               21.2522E-03        80.1759E-03       -76.7591E-03         3.28503E-06
               22.5022E-03        94.6217E-03       -91.0975E-03         3.89204E-06
               23.7522E-03       110.831E-03       -107.011E-03          4.56866E-06
               25.0023E-03       128.734E-03       -124.628E-03          5.31844E-06
               26.2523E-03       148.38E-03        -144.185E-03          6.14496E-06
               27.5023E-03       169.884E-03       -165.628E-03          7.05174E-06
               28.7524E-03       193.486E-03       -188.973E-03          8.04224E-06
               30.0024E-03       219.146E-03       -214.325E-03          9.11996E-06
               31.2524E-03       246.875E-03       -241.93E-03          10.2883E-06 
               32.5E-03          276.694E-03       -271.711E-03         11.5474E-06 
               33.7508E-03       308.977E-03       -303.782E-03         12.9071E-06 
               35.0015E-03       343.686E-03       -338.178E-03         14.3675E-06 
               36.2523E-03       380.768E-03       -375.102E-03         15.9321E-06 
               37.5031E-03       420.337E-03       -414.646E-03         17.6042E-06 
               38.7507E-03       462.454E-03       -456.606E-03         19.3822E-06 
               40.0014E-03       507.456E-03       -501.301E-03         21.2786E-06 
               41.2522E-03       555.139E-03       -548.787E-03         23.2921E-06 
               42.503E-03        605.607E-03       -599.224E-03         25.4258E-06 
               43.7506E-03       658.861E-03       -652.369E-03         27.6773E-06 
               45.0013E-03       715.342E-03       -708.565E-03         30.0607E-06 
               46.2521E-03       774.83E-03        -767.823E-03         32.5739E-06 
               47.5029E-03       837.374E-03       -830.319E-03         35.2198E-06 
               48.7505E-03       902.948E-03       -895.827E-03         37.9942E-06 
               50.0012E-03       972.053E-03       -964.681E-03         40.9141E-06 
               51.252E-03          1.0445            -1.03687           43.9759E-06 
               52.5028E-03         1.12026           -1.11256           47.1822E-06 
               53.7504E-03         1.19929           -1.19156           50.5276E-06 
               55.0011E-03         1.28214           -1.27419           54.0318E-06 
               56.2519E-03         1.36865           -1.36042           57.6893E-06 
               57.5027E-03         1.45873           -1.4504            61.503E-06  
               58.7503E-03         1.5523            -1.54397           65.4655E-06 
               60.001E-03          1.64997           -1.64147           69.5996E-06 
               61.2518E-03         1.75159           -1.74282           73.8981E-06 
               62.5026E-03         1.85706           -1.84814           78.3642E-06 
               63.7502E-03         1.96622           -1.95728           82.9882E-06 
               65.0009E-03         2.07975           -2.07073           87.7962E-06 
               66.2517E-03         2.1975            -2.18821           92.7796E-06 
               67.5025E-03         2.31939           -2.30991           97.9409E-06 
               68.7501E-03         2.44512           -2.43563          103.269E-06  
               70.0008E-03         2.57553           -2.56596          108.793E-06  
               71.2516E-03         2.71037           -2.70057          114.503E-06  
               72.5024E-03         2.84964           -2.83963          120.402E-06  
               73.7531E-03         2.9933            -2.98326          126.49E-06   
               75.0007E-03         3.14115           -3.13108          132.756E-06  
               76.2515E-03         3.29404           -3.28376          139.233E-06  
               77.5023E-03         3.45163           -3.44112          145.908E-06  
               78.753E-03          3.61382           -3.60326          152.783E-06  
               80.0006E-03         3.78036           -3.76978          159.843E-06  
               81.2514E-03         3.95221           -3.94157          167.125E-06  
               82.5022E-03         4.12898           -4.11801          174.614E-06  
               83.7529E-03         4.31061           -4.29953          182.313E-06  
               85.0005E-03         4.49669           -4.48563          190.204E-06  
               86.2513E-03         4.68836           -4.67718          198.328E-06  
               87.5021E-03         4.88517           -4.87375          206.668E-06  
               88.7528E-03         5.08708           -5.07554          215.227E-06  
               90.0004E-03         5.29356           -5.28203          223.984E-06  
               91.2512E-03         5.50588           -5.49427          232.985E-06  
               92.502E-03          5.72354           -5.7117           242.211E-06  
               93.7527E-03         5.94652           -5.93454          251.664E-06  
               95.0003E-03         6.17421           -6.16223          261.322E-06  
               96.2511E-03         6.40795           -6.39592          271.234E-06  
               97.5019E-03         6.64724           -6.63502          281.379E-06  
               98.7526E-03         6.89206           -6.87966          291.759E-06  
              100.E-03             7.14173           -7.12931          302.348E-06  
              101.251E-03          7.39764           -7.38521          313.203E-06  
              102.502E-03          7.65931           -7.64671          324.298E-06  
              103.753E-03          7.92668           -7.91389          335.636E-06  
              105.E-03             8.19904           -8.18622          347.189E-06  
              106.251E-03          8.47784           -8.46503          359.017E-06  
              107.502E-03          8.76258           -8.74964          371.092E-06  
              108.752E-03          9.05321           -9.04006          383.418E-06  
              110.E-03             9.34895           -9.33573          395.962E-06  
              111.251E-03          9.65133           -9.63814          408.791E-06  
              112.502E-03          9.95978           -9.94651          421.876E-06  
              113.752E-03         10.2743           -10.2608           435.217E-06  
              115.003E-03         10.5949           -10.5813           448.815E-06  
              116.251E-03         10.9207           -10.9071           462.639E-06  
              117.501E-03         11.2535           -11.2399           476.758E-06  
              118.752E-03         11.5926           -11.5788           491.14E-06   
              120.003E-03         11.9378           -11.9239           505.787E-06  
              121.251E-03         12.2884           -12.2745           520.662E-06  
              122.501E-03         12.6461           -12.6322           535.842E-06  
              123.752E-03         13.0103           -12.9962           551.291E-06  
              125.003E-03         13.3808           -13.3666           567.011E-06  
              126.251E-03         13.7577           -13.7435           583.001E-06  
              127.502E-03         14.1419           -14.1277           599.307E-06  
              128.753E-03         14.5327           -14.5184           615.888E-06  
              130.E-03            14.929            -14.9145           632.703E-06  
              131.251E-03         15.3328           -15.3183           649.839E-06  
              132.502E-03         15.7432           -15.7287           667.252E-06  
              133.75E-03          16.1591           -16.1446           684.903E-06  
              135.001E-03         16.5828           -16.5681           702.88E-06   
              136.252E-03         17.0131           -16.9983           721.142E-06  
              137.5E-03           17.4489           -17.4342           739.639E-06  
