
                             RF1_thick_forca_1  U1_thick_ forca_1
                  X               e5_apoio           e5_aplic    

                0.                 0.                 0.         
                1.25493E-03     -151.733E-03        -12.8593E-12 
                2.50602E-03      303.771E-06       -327.91E-12   
                3.75705E-03       84.2031E-06        -1.95571E-09
                5.0081E-03        97.9009E-06        -6.5349E-09 
                6.25916E-03      -70.9786E-06       -16.2325E-09 
                7.50021E-03       11.4322E-06       -33.6413E-09 
                8.75122E-03       93.3386E-06       -62.3405E-09 
               10.0022E-03       153.441E-06       -106.102E-09  
               11.2532E-03       410.274E-06       -169.46E-09   
               12.5042E-03         1.23742E-03     -257.558E-09  
               13.7552E-03         2.67315E-03     -375.968E-09  
               15.0062E-03         4.91482E-03     -530.837E-09  
               16.2572E-03         8.15633E-03     -728.969E-09  
               17.5082E-03        12.5629E-03      -977.535E-09  
               18.7592E-03        18.3481E-03        -1.28383E-06
               20.0002E-03        25.6155E-03        -1.65174E-06
               21.2512E-03        34.6364E-03        -2.09365E-06
               22.5022E-03        45.5755E-03        -2.61247E-06
               23.7532E-03        58.5488E-03        -3.21308E-06
               25.0042E-03        73.7571E-03        -3.8997E-06 
               26.2552E-03        91.2871E-03        -4.67602E-06
               27.5062E-03       111.221E-03         -5.54518E-06
               28.7572E-03       133.553E-03         -6.50967E-06
               30.0082E-03       158.252E-03         -7.57123E-06
               31.2592E-03       185.254E-03         -8.73095E-06
               32.5004E-03       214.297E-03         -9.97908E-06
               33.7516E-03       245.842E-03        -11.336E-06  
               35.0029E-03       279.669E-03        -12.7918E-06 
               36.2541E-03       315.753E-03        -14.3463E-06 
               37.5053E-03       354.079E-03        -15.9996E-06 
               38.7566E-03       394.596E-03        -17.7528E-06 
               40.0078E-03       437.331E-03        -19.6074E-06 
               41.259E-03        482.28E-03         -21.5661E-06 
               42.5003E-03       529.08E-03         -23.6149E-06 
               43.7515E-03       578.558E-03        -25.7901E-06 
               45.0027E-03       630.465E-03        -28.0796E-06 
               46.254E-03        684.953E-03        -30.488E-06  
               47.5052E-03       742.24E-03         -33.0203E-06 
               48.7564E-03       802.525E-03        -35.6823E-06 
               50.0077E-03       865.981E-03        -38.4802E-06 
               51.2589E-03       932.74E-03         -41.4202E-06 
               52.5001E-03         1.00238          -44.4833E-06 
               53.7513E-03         1.07617          -47.7252E-06 
               55.0026E-03         1.15374          -51.1272E-06 
               56.2538E-03         1.23525          -54.6942E-06 
               57.505E-03          1.32084          -58.43E-06   
               58.7563E-03         1.4106           -62.3375E-06 
               60.0075E-03         1.50463          -66.4194E-06 
               61.2587E-03         1.60295          -70.6776E-06 
               62.51E-03           1.70555          -75.1138E-06 
               63.7507E-03         1.81152          -79.6911E-06 
               65.0015E-03         1.92249          -84.4832E-06 
               66.2523E-03         2.03755          -89.4537E-06 
               67.503E-03          2.15666          -94.6019E-06 
               68.7538E-03         2.27982          -99.927E-06  
               70.0046E-03         2.40701         -105.428E-06  
               71.2553E-03         2.53818         -111.105E-06  
               72.5061E-03         2.67329         -116.959E-06  
               73.7569E-03         2.8123          -122.989E-06  
               75.0076E-03         2.95522         -129.199E-06  
               76.2584E-03         3.10211         -135.591E-06  
