
                             RF1_thin_desl_1e5  RF1_thin_desl_1e5  U1_thin_desl_1e5_
                  X                _aplic             _apoio             aplic      

                0.                 0.                 0.                 0.         
                1.25063E-03      319.923E-06       -122.639E-03        524.806E-12  
                2.50207E-03        1.16374E-03      -69.5905E-06         4.19465E-09
                3.75288E-03        2.53805E-03      166.13E-06          14.1279E-09 
                5.00369E-03        4.47389E-03     -171.199E-06         33.4225E-09 
                6.2545E-03         6.97309E-03      -74.524E-06         65.152E-09  
                7.50531E-03        9.98519E-03     -123.045E-06        112.366E-09  
                8.75616E-03       13.5041E-03      -985.507E-06        178.093E-09  
               10.007E-03         17.6192E-03        -2.77746E-03      265.336E-09  
               11.2579E-03        22.2525E-03        -5.75873E-03      377.075E-09  
               12.5088E-03        27.3643E-03        -9.84524E-03      516.269E-09  
               13.7596E-03        33.0737E-03       -15.0717E-03       685.851E-09  
               15.0105E-03        39.5496E-03       -21.2499E-03       888.73E-09   
               16.2502E-03        47.0758E-03       -28.4612E-03         1.1255E-06 
               17.501E-03         56.1945E-03       -36.8603E-03         1.40325E-06
               18.7519E-03        67.0443E-03       -46.2892E-03         1.72288E-06
               20.0028E-03        79.6078E-03       -56.7366E-03         2.08719E-06
               21.2536E-03        93.6786E-03       -68.3504E-03         2.49899E-06
               22.5045E-03       109.221E-03        -81.2805E-03         2.96105E-06
               23.7554E-03       126.347E-03        -95.8856E-03         3.47611E-06
               25.0062E-03       145.049E-03       -112.58E-03           4.04692E-06
               26.2571E-03       165.284E-03       -131.486E-03          4.67617E-06
               27.5079E-03       187.068E-03       -152.606E-03          5.36654E-06
               28.7588E-03       210.446E-03       -175.771E-03          6.12071E-06
               30.0097E-03       235.659E-03       -200.905E-03          6.9413E-06 
               31.2605E-03       263.127E-03       -227.975E-03          7.83092E-06
               32.5002E-03       292.875E-03       -256.887E-03          8.7833E-06 
               33.7511E-03       325.515E-03       -288.125E-03          9.8181E-06 
               35.002E-03        360.825E-03       -321.387E-03         10.9296E-06 
               36.2528E-03       398.673E-03       -356.668E-03         12.1205E-06 
               37.5037E-03       438.883E-03       -394.351E-03         13.393E-06  
               38.7545E-03       481.464E-03       -434.819E-03         14.7498E-06 
               40.0054E-03       526.558E-03       -478.271E-03         16.1934E-06 
               41.2563E-03       574.201E-03       -524.86E-03          17.7261E-06 
               42.5071E-03       624.287E-03       -574.575E-03         19.3503E-06 
               43.758E-03        676.919E-03       -627.224E-03         21.0686E-06 
               45.0089E-03       732.367E-03       -682.667E-03         22.8832E-06 
               46.2597E-03       791.005E-03       -740.965E-03         24.7965E-06 
               47.5106E-03       853.138E-03       -802.161E-03         26.8107E-06 
               48.7503E-03       918.251E-03       -865.72E-03          28.909E-06  
               50.0011E-03       987.381E-03       -932.788E-03         31.1313E-06 
               51.252E-03          1.05981           -1.0029            33.4615E-06 
               52.5029E-03         1.13552           -1.07622           35.9018E-06 
               53.7537E-03         1.21443           -1.15315           38.4545E-06 
               55.0046E-03         1.29657           -1.23408           41.1218E-06 
               56.2555E-03         1.38208           -1.31899           43.9058E-06 
               57.5063E-03         1.471             -1.40772           46.8086E-06 
               58.7572E-03         1.56332           -1.50016           49.8324E-06 
               60.008E-03          1.65929           -1.59622           52.9795E-06 
               61.2589E-03         1.75928           -1.69585           56.2518E-06 
               62.5098E-03         1.86363           -1.79918           59.6514E-06 
               63.7606E-03         1.97233           -1.90624           63.1805E-06 
               65.0003E-03         2.08421           -2.01604           66.8075E-06 
               66.2512E-03         2.20111           -2.13071           70.6003E-06 
               67.5021E-03         2.32192           -2.24945           74.5282E-06 
               68.7529E-03         2.44669           -2.3726            78.5938E-06 
               70.0038E-03         2.57553           -2.50042           82.7986E-06 
               71.2546E-03         2.70841           -2.63301           87.1447E-06 
               72.5055E-03         2.84538           -2.77017           91.6338E-06 
               73.7564E-03         2.98666           -2.91168           96.2683E-06 
               75.0072E-03         3.13239           -3.0574           101.05E-06   
               76.2581E-03         3.28284           -3.20744          105.98E-06   
               77.509E-03          3.43834           -3.36192          111.06E-06   
               78.7598E-03         3.59889           -3.52077          116.294E-06  
               80.0107E-03         3.76432           -3.68411          121.681E-06  
               81.2504E-03         3.93288           -3.85058          127.175E-06  
               82.5012E-03         4.10745           -4.02333          132.875E-06  
               83.7521E-03         4.28658           -4.20119          138.734E-06  
               85.003E-03          4.47046           -4.38443          144.754E-06  
               86.2538E-03         4.6591            -4.573            150.938E-06  
               87.5047E-03         4.85253           -4.76676          157.286E-06  
               88.7556E-03         5.05088           -4.96551          163.8E-06    
               90.0064E-03         5.25438           -5.16904          170.482E-06  
               91.2573E-03         5.46336           -5.37742          177.334E-06  
               92.5081E-03         5.67796           -5.59086          184.356E-06  
               93.759E-03          5.89812           -5.80941          191.552E-06  
               95.0099E-03         6.12377           -6.03295          198.921E-06  
               96.2607E-03         6.35466           -6.26196          206.467E-06  
               97.5004E-03         6.58845           -6.49419          214.119E-06  
               98.7513E-03         6.82945           -6.73427          222.019E-06  
              100.002E-03          7.07575           -6.98028          230.099E-06  
              101.253E-03          7.32741           -7.23213          238.36E-06   
              102.504E-03          7.58452           -7.4897           246.805E-06  
              103.755E-03          7.84716           -7.75272          255.434E-06  
              105.006E-03          8.11549           -8.0211           264.25E-06   
              106.256E-03          8.38985           -8.29486          273.252E-06  
              107.507E-03          8.67043           -8.57414          282.444E-06  
              108.758E-03          8.95709           -8.85907          291.824E-06  
              110.009E-03          9.24961           -9.14977          301.397E-06  
              111.26E-03           9.54782           -9.44627          311.162E-06  
              112.511E-03          9.85161           -9.74873          321.122E-06  
              113.75E-03          10.1582           -10.0547           331.185E-06  
              115.001E-03         10.4733           -10.3698           341.535E-06  
              116.252E-03         10.7943           -10.6913           352.081E-06  
              117.503E-03         11.1213           -11.0188           362.828E-06  
              118.754E-03         11.4543           -11.3523           373.774E-06  
              120.005E-03         11.7936           -11.6914           384.922E-06  
              121.256E-03         12.1393           -12.0365           396.272E-06  
              122.507E-03         12.4917           -12.3876           407.826E-06  
              123.757E-03         12.8506           -12.7447           419.584E-06  
              125.008E-03         13.2158           -13.1081           431.549E-06  
              126.258E-03         13.5869           -13.4778           443.72E-06   
              127.508E-03         13.964            -13.854            456.1E-06    
              128.758E-03         14.3472           -14.2369           468.689E-06  
              130.008E-03         14.7366           -14.6265           481.486E-06  
              131.258E-03         15.1323           -15.0229           494.496E-06  
              132.508E-03         15.5344           -15.4257           507.717E-06  
              133.758E-03         15.943            -15.8347           521.153E-06  
              135.008E-03         16.3583           -16.2498           534.802E-06  
              136.258E-03         16.7805           -16.6711           548.664E-06  
              137.509E-03         17.2096           -17.0989           562.743E-06  
              138.759E-03         17.6456           -17.5332           577.04E-06   
              140.009E-03         18.0881           -17.9741           591.554E-06  
              141.259E-03         18.537            -18.4217           606.287E-06  
              142.509E-03         18.9921           -18.8762           621.24E-06   
              143.759E-03         19.4535           -19.3378           636.413E-06  
              145.009E-03         19.9216           -19.8064           651.806E-06  
              146.259E-03         20.3964           -20.2819           667.422E-06  
              147.509E-03         20.878            -20.7642           683.26E-06   
              148.759E-03         21.3664           -21.253            699.322E-06  
              150.009E-03         21.8619           -21.7482           715.607E-06  
              151.259E-03         22.3646           -22.2498           732.119E-06  
              152.509E-03         22.8744           -22.7583           748.855E-06  
              153.759E-03         23.3913           -23.2736           765.82E-06   
              155.009E-03         23.915            -23.796            783.011E-06  
              156.259E-03         24.4453           -24.3253           800.429E-06  
              157.509E-03         24.9821           -24.8618           818.076E-06  
              158.759E-03         25.5256           -25.4055           835.953E-06  
              160.009E-03         26.0759           -25.9567           854.06E-06   
              161.259E-03         26.6333           -26.515            872.396E-06  
              162.509E-03         27.1978           -27.0801           890.963E-06  
              163.759E-03         27.7694           -27.6519           909.763E-06  
              165.009E-03         28.3483           -28.2304           928.795E-06  
              166.259E-03         28.9345           -28.8157           948.059E-06  
              167.509E-03         29.5282           -29.408            967.557E-06  
              168.759E-03         30.1291           -30.0074           987.289E-06  
              170.009E-03         30.737            -30.6141             1.00725E-03
              171.259E-03         31.3516           -31.2281             1.02746E-03
              172.509E-03         31.9729           -31.8494             1.04789E-03
              173.759E-03         32.6011           -32.4782             1.06856E-03
              175.009E-03         33.2365           -33.1145             1.08947E-03
              176.259E-03         33.8791           -33.758              1.11062E-03
              177.509E-03         34.529            -34.4086             1.132E-03  
              178.759E-03         35.1863           -35.066              1.15362E-03
              180.01E-03          35.8511           -35.7302             1.17548E-03
              181.26E-03          36.5233           -36.4013             1.19757E-03
              182.51E-03          37.203            -37.0798             1.21991E-03
              183.76E-03          37.8901           -37.7655             1.24248E-03
              185.01E-03          38.5843           -38.4588             1.26529E-03
              186.26E-03          39.2853           -39.1595             1.28834E-03
              187.51E-03          39.9931           -39.8676             1.31163E-03
              188.76E-03          40.708            -40.5833             1.33517E-03
              190.01E-03          41.4302           -41.3066             1.35894E-03
              191.26E-03          42.1599           -42.0372             1.38295E-03
              192.51E-03          42.897            -42.7749             1.4072E-03 
              193.76E-03          43.6416           -43.5196             1.4317E-03 
              195.01E-03          44.3938           -44.271              1.45643E-03
              196.26E-03          45.1536           -45.0297             1.48141E-03
              197.51E-03          45.9209           -45.7957             1.50663E-03
              198.76E-03          46.6955           -46.5693             1.53209E-03
              200.01E-03          47.4773           -47.3503             1.55779E-03
              201.26E-03          48.2659           -48.139              1.58374E-03
              202.51E-03          49.0615           -48.9351             1.60992E-03
              203.76E-03          49.8643           -49.7389             1.63635E-03
              205.01E-03          50.6745           -50.5502             1.66302E-03
              206.26E-03          51.4922           -51.3689             1.68994E-03
              207.51E-03          52.3175           -52.1947             1.71709E-03
              208.76E-03          53.1504           -53.0274             1.74449E-03
              210.01E-03          53.9908           -53.8671             1.77214E-03
              211.26E-03          54.8388           -54.714              1.80002E-03
              212.51E-03          55.6943           -55.5683             1.82815E-03
              213.76E-03          56.5571           -56.4302             1.85652E-03
              215.01E-03          57.427            -57.2998             1.88513E-03
              216.26E-03          58.3038           -58.1769             1.91398E-03
              217.51E-03          59.1877           -59.0615             1.94308E-03
              218.76E-03          60.0787           -59.9537             1.97242E-03
              220.01E-03          60.9772           -60.8535             2.002E-03  
              221.26E-03          61.8833           -61.7604             2.03183E-03
              222.51E-03          62.797            -62.6744             2.0619E-03 
              223.76E-03          63.7182           -63.5954             2.09221E-03
              225.011E-03         64.6469           -64.5234             2.12276E-03
              226.261E-03         65.5832           -65.4585             2.15355E-03
              227.511E-03         66.5269           -66.4012             2.18458E-03
              228.761E-03         67.4778           -67.3514             2.21586E-03
              230.011E-03         68.4358           -68.3093             2.24738E-03
              231.261E-03         69.4005           -69.2746             2.27913E-03
              232.511E-03         70.3723           -70.2475             2.31114E-03
              233.761E-03         71.3513           -71.2277             2.34337E-03
              235.011E-03         72.3378           -72.2154             2.37586E-03
              236.261E-03         73.3317           -73.2102             2.40858E-03
              237.511E-03         74.3333           -74.212              2.44154E-03
              238.761E-03         75.3424           -75.2207             2.47474E-03
              240.011E-03         76.3588           -76.2362             2.50818E-03
              241.261E-03         77.3826           -77.259              2.54186E-03
              242.511E-03         78.4137           -78.2893             2.57578E-03
              243.761E-03         79.452            -79.327              2.60994E-03
              245.011E-03         80.4971           -80.3723             2.64433E-03
              246.261E-03         81.549            -81.4251             2.67896E-03
              247.511E-03         82.6077           -82.4851             2.71383E-03
              248.761E-03         83.6737           -83.5524             2.74894E-03
              250.011E-03         84.7471           -84.6269             2.78428E-03
              251.252E-03         85.8183           -85.6988             2.81955E-03
              252.503E-03         86.9065           -86.7871             2.85536E-03
              253.755E-03         88.0021           -87.8822             2.89142E-03
              255.007E-03         89.105            -88.9841             2.9277E-03 
              256.258E-03         90.215            -90.0931             2.96423E-03
              257.51E-03          91.3322           -91.2096             3.00098E-03
              258.751E-03         92.4461           -92.3234             3.03764E-03
              260.002E-03         93.5768           -93.4547             3.07486E-03
              261.254E-03         94.7143           -94.5931             3.11232E-03
              262.506E-03         95.8585           -95.7388             3.15001E-03
              263.757E-03         97.0096           -96.8914             3.18792E-03
              265.009E-03         98.1682           -98.0512             3.22607E-03
              266.261E-03         99.3341           -99.2176             3.26446E-03
              267.501E-03        100.497           -100.38               3.30273E-03
              268.753E-03        101.677           -101.56               3.34157E-03
              270.005E-03        102.864           -102.746              3.38064E-03
              271.256E-03        104.059           -103.94               3.41994E-03
              272.508E-03        105.26            -105.14               3.45947E-03
              273.76E-03         106.468           -106.348              3.49923E-03
              275.E-03           107.671           -107.553              3.53885E-03
              276.252E-03        108.892           -108.775              3.57906E-03
              277.504E-03        110.119           -110.004              3.61949E-03
              278.755E-03        111.354           -111.239              3.66015E-03
              280.007E-03        112.595           -112.482              3.70103E-03
              281.259E-03        113.844           -113.731              3.74215E-03
              282.511E-03        115.1             -114.987              3.78347E-03
              283.751E-03        116.351           -116.237              3.82465E-03
              285.003E-03        117.62            -117.506              3.86643E-03
              286.254E-03        118.896           -118.781              3.90843E-03
              287.506E-03        120.178           -120.063              3.95063E-03
              288.758E-03        121.467           -121.352              3.99307E-03
              290.01E-03         122.763           -122.649              4.03573E-03
              291.25E-03         124.053           -123.94               4.07821E-03
              292.502E-03        125.36            -125.25               4.1213E-03 
