
                             RF1_thin_forca_1e  U1_thin_forca_1e5
                  X               5_apoio             _aplic     

                0.                 0.                 0.         
                1.2504E-03         9.75453E-06      -12.4484E-12 
                2.50999E-03      -26.7676E-06      -303.276E-12  
                3.75098E-03      125.201E-06         -1.67366E-09
                5.00315E-03      -43.9883E-06        -5.49109E-09
                6.25531E-03       17.3888E-06       -13.6275E-09 
                7.50748E-03      -36.6639E-06       -28.4395E-09 
                8.75969E-03       68.539E-06        -52.8053E-09 
               10.0007E-03       422.535E-06        -89.7912E-09 
               11.2529E-03         1.05722E-03     -144.014E-09  
               12.5052E-03         2.33084E-03     -219.588E-09  
               13.7574E-03         4.4512E-03      -321.455E-09  
               15.0096E-03         7.45268E-03     -455.026E-09  
               16.2506E-03        11.6319E-03      -624.224E-09  
               17.5027E-03        17.1457E-03      -837.644E-09  
               18.7548E-03        24.2007E-03        -1.099E-06  
               20.0069E-03        32.9259E-03        -1.41264E-06
               21.259E-03         43.5102E-03        -1.78222E-06
               22.5112E-03        56.0782E-03        -2.21092E-06
               23.7521E-03        70.6389E-03        -2.69678E-06
               25.0042E-03        87.4213E-03        -3.25064E-06
               26.2563E-03       106.348E-03         -3.86991E-06
               27.5084E-03       127.286E-03         -4.55553E-06
               28.7606E-03       150.237E-03         -5.30799E-06
               30.0015E-03       175.014E-03         -6.11976E-06
               31.2536E-03       202.012E-03         -7.00538E-06
               32.5057E-03       231.018E-03         -7.95778E-06
               33.7578E-03       261.981E-03         -8.97749E-06
               35.0099E-03       294.909E-03        -10.0657E-06 
               36.2509E-03       329.498E-03        -11.2137E-06 
               37.503E-03        366.402E-03        -12.4444E-06 
               38.7551E-03       405.387E-03        -13.7507E-06 
               40.0072E-03       446.594E-03        -15.1356E-06 
               41.2593E-03       490.217E-03        -16.6031E-06 
               42.5003E-03       536.029E-03        -18.1433E-06 
               43.7524E-03       585.061E-03        -19.7885E-06 
               45.0045E-03       637.05E-03         -21.5303E-06 
               46.2566E-03       692.114E-03        -23.3736E-06 
               47.5087E-03       750.452E-03        -25.3233E-06 
               48.7609E-03       812.237E-03        -27.3836E-06 
               50.0018E-03       877.024E-03        -29.5379E-06 
               51.2539E-03       946.087E-03        -31.8278E-06 
               52.506E-03          1.01895          -34.2364E-06 
               53.7581E-03         1.09567          -36.7656E-06 
               55.0102E-03         1.17623          -39.4165E-06 
               56.2512E-03         1.2598           -42.1646E-06 
               57.5033E-03         1.34783          -45.0595E-06 
               58.7554E-03         1.43952          -48.0765E-06 
               60.0075E-03         1.53487          -51.2152E-06 
               61.2596E-03         1.63386          -54.4752E-06 
               62.5006E-03         1.73556          -57.8255E-06 
               63.7531E-03         1.84174          -61.327E-06  
               65.0056E-03         1.95147          -64.9513E-06 
               66.2582E-03         2.06477          -68.7002E-06 
               67.5107E-03         2.18172          -72.5761E-06 
               68.7521E-03         2.30132          -76.5453E-06 
               70.0046E-03         2.42587          -80.6824E-06 
               71.2571E-03         2.55454          -84.956E-06  
               72.5097E-03         2.68747          -89.37E-06   
               73.751E-03          2.82361          -93.8877E-06 
               75.0035E-03         2.96552          -98.5949E-06 
               76.2561E-03         3.11209         -103.456E-06  
               77.5086E-03         3.2635          -108.475E-06  
               78.7611E-03         3.41989         -113.654E-06  
               80.0025E-03         3.57992         -118.949E-06  
               81.255E-03          3.74657         -124.455E-06  
               82.5075E-03         3.91846         -130.127E-06  
               83.7601E-03         4.09554         -135.966E-06  
               85.0014E-03         4.27613         -141.917E-06  
               86.254E-03          4.4634          -148.089E-06  
               87.5065E-03         4.65567         -154.428E-06  
               88.759E-03          4.8529          -160.932E-06  
               90.0004E-03         5.05324         -167.54E-06   
               91.2529E-03         5.26027         -174.37E-06   
               92.5054E-03         5.4722          -181.365E-06  
               93.758E-03          5.68898         -188.523E-06  
               95.0105E-03         5.91057         -195.848E-06  
